problem;system;software;software::release;processors;runtime;reduction;update;prepare
cyclic8;syzygy;parallelGBC;e086f3b818;32;16.842;3.01795;2.52039;11.194
cyclic8;syzygy;parallelGBC;e086f3b818;16;18.2614;4.5936;2.47592;11.0889
cyclic8;syzygy;parallelGBC;e086f3b818;8;20.5882;6.96812;2.48239;11.0353
cyclic8;syzygy;parallelGBC;e086f3b818;4;24.4401;10.851;2.49916;10.9876
cyclic8;syzygy;parallelGBC;e086f3b818;2;31.2589;17.5001;2.47994;11.1728
cyclic8;syzygy;parallelGBC;e086f3b818;1;36.2239;23.56;2.17668;10.3865
cyclic8;poscomp;parallelGBC;e086f3b818;1;15.3253;9.78121;0.928908;4.56693
cyclic8;poscomp;parallelGBC;e086f3b818;2;11.2695;5.43016;0.99183;4.79546
cyclic8;poscomp;parallelGBC;e086f3b818;4;8.81667;3.01994;0.995314;4.74758
cyclic8;poscomp;parallelGBC;e086f3b818;8;7.57214;1.69879;1.02075;4.79841
cyclic8;poscomp;parallelGBC;e086f3b818;16;7.97575;1.65047;1.26743;4.99178
cyclic9;syzygy;parallelGBC;e086f3b818;1;5283.08;4683.65;47.1729;549.207
cyclic9;syzygy;parallelGBC;e086f3b818;2;3176.22;2527.35;53.6608;591.973
cyclic9;syzygy;parallelGBC;e086f3b818;4;1937.61;1298.63;53.5193;582.272
cyclic9;syzygy;parallelGBC;e086f3b818;8;1331.3;681.125;53.6928;593.196
cyclic9;syzygy;parallelGBC;e086f3b818;16;1018.07;368.866;53.7951;592.118
cyclic9;syzygy;parallelGBC;e086f3b818;32;856.398;206.767;53.7403;592.57
cyclic9;poscomp;parallelGBC;e086f3b818;1;2144.17;1901.26;20.5648;220.512
cyclic9;poscomp;parallelGBC;e086f3b818;2;1295.3;1039.6;21.8446;231.95
cyclic9;poscomp;parallelGBC;e086f3b818;4;821.201;569.973;22.0885;227.256
cyclic9;poscomp;parallelGBC;e086f3b818;8;544.735;294.053;21.7582;227.056
cyclic9;poscomp;parallelGBC;e086f3b818;16;529.337;276.421;22.568;228.385
